snapshot_pct,snapshot_step,direction,bin,dataset_index,exposure_step,exposure_status,baseline_p0,baseline_p0_completion_length,prompt_token_count,delta_R,delta_T,delta_C
25,934,B-bin/A-base,"(.25,.5]",92,3214,unexposed,0.125,1737.6875,101.0,0.0625,0.375,0.0625
25,934,A-bin/B-base,"(.5,.75]",93,2614,unexposed,0.375,1637.5,78.0,0.4375,0.4375,0.0625
25,934,B-bin/A-base,"(.25,.5]",93,2614,unexposed,0.75,1292.1875,78.0,0.0625,0.125,-0.1875
25,934,A-bin/B-base,"(.5,.75]",94,2192,unexposed,0.5625,1430.5,62.0,0.375,0.375,0.0625
25,934,B-bin/A-base,"(.5,.75]",94,2192,unexposed,0.5625,1469.5625,62.0,0.375,0.375,0.125
25,934,A-bin/B-base,"(0,.25]",95,610,exposed,0.0,1839.625,92.0,0.0,0.25,0.0
25,934,B-bin/A-base,0,95,610,exposed,0.125,1845.875,92.0,-0.125,0.3125,-0.125
25,934,A-bin/B-base,"(.75,1)",96,2987,unexposed,0.6875,1254.4375,98.0,0.3125,0.3125,0.25
25,934,B-bin/A-base,"(.5,.75]",96,2987,unexposed,0.8125,1279.3125,98.0,0.1875,0.1875,0.125
25,934,A-bin/B-base,0,97,315,exposed,0.0,1943.5625,135.0,0.0625,0.4375,0.125
25,934,B-bin/A-base,0,97,315,exposed,0.0,1900.375,135.0,0.0625,0.375,0.125
25,934,A-bin/B-base,"(.25,.5]",98,2219,unexposed,0.375,1332.1875,113.0,0.3125,0.125,0.375
25,934,B-bin/A-base,"(.25,.5]",98,2219,unexposed,0.3125,1704.625,113.0,0.375,0.3125,0.375
25,934,A-bin/B-base,0,99,2965,unexposed,0.0,1956.1875,123.0,0.125,0.125,0.0625
25,934,B-bin/A-base,0,99,2965,unexposed,0.0,2048.0,123.0,0.125,0.25,0.0625
25,934,A-bin/B-base,"(.25,.5]",100,2174,unexposed,0.25,1596.0,83.0,0.25,0.1875,0.25
25,934,B-bin/A-base,"(0,.25]",100,2174,unexposed,0.375,1725.4375,83.0,0.125,0.125,-0.0625
25,934,A-bin/B-base,"(0,.25]",101,2112,unexposed,0.3125,1613.0625,136.0,0.3125,0.375,0.0
25,934,B-bin/A-base,"(.25,.5]",101,2112,unexposed,0.25,1615.3125,136.0,0.375,0.375,0.125
25,934,A-bin/B-base,"(0,.25]",102,2739,unexposed,0.375,1595.75,97.0,0.125,0.0625,0.0
25,934,B-bin/A-base,"(.25,.5]",102,2739,unexposed,0.1875,1837.875,97.0,0.3125,0.4375,0.125
25,934,A-bin/B-base,0,103,824,exposed,0.0,2048.0,131.0,0.0625,0.1875,0.0
25,934,B-bin/A-base,0,103,824,exposed,0.0,1974.1875,131.0,0.0625,0.0625,0.0625
25,934,A-bin/B-base,"(.5,.75]",104,1749,unexposed,0.4375,1691.5625,72.0,0.25,0.375,-0.0625
25,934,B-bin/A-base,"(.25,.5]",104,1749,unexposed,0.75,1237.375,72.0,-0.0625,0.0,0.0
25,934,A-bin/B-base,"(.5,.75]",105,1613,unexposed,0.5625,1454.6875,61.0,0.125,0.1875,0.0
25,934,B-bin/A-base,"(.5,.75]",105,1613,unexposed,0.5625,1228.375,61.0,0.125,0.1875,0.0
25,934,A-bin/B-base,"(.5,.75]",106,492,exposed,0.8125,1186.1875,70.0,-0.25,-0.1875,-0.0625
25,934,B-bin/A-base,"(.75,1)",106,492,exposed,0.75,1110.0625,70.0,-0.1875,-0.0625,-0.1875
25,934,A-bin/B-base,"(0,.25]",107,2541,unexposed,0.125,1691.0625,121.0,0.125,0.125,0.0625
25,934,B-bin/A-base,"(0,.25]",107,2541,unexposed,0.125,1855.0625,121.0,0.125,0.375,-0.0625
25,934,A-bin/B-base,"(.25,.5]",108,2893,unexposed,0.1875,1713.25,86.0,0.375,0.375,0.25
25,934,B-bin/A-base,"(0,.25]",108,2893,unexposed,0.3125,1395.4375,86.0,0.25,0.1875,0.125
25,934,A-bin/B-base,"(.25,.5]",109,2397,unexposed,0.625,1327.4375,75.0,-0.0625,0.0625,-0.1875
