snapshot_pct,direction,dataset_index,bin,bin_p0,baseline_R,snapshot_R,delta_R,baseline_T,snapshot_T,delta_T,baseline_C,snapshot_C,delta_C
5,B-bin/A-base,74,"(.5,.75]",0.6875,0.4375,0.4375,0.0,0.5625,0.4375,-0.125,0.5625,0.625,0.0625
5,A-bin/B-base,75,"(.25,.5]",0.5,0.3125,0.375,0.0625,0.3125,0.4375,0.125,0.625,0.6875,0.0625
5,B-bin/A-base,75,"(.25,.5]",0.3125,0.5,0.375,-0.125,0.5625,0.4375,-0.125,0.9375,0.6875,-0.25
5,A-bin/B-base,76,"(0,.25]",0.0625,0.0625,0.0625,0.0,0.3125,0.4375,0.125,0.3125,0.125,-0.1875
5,B-bin/A-base,76,"(0,.25]",0.0625,0.0625,0.0625,0.0,0.3125,0.4375,0.125,0.3125,0.125,-0.1875
5,A-bin/B-base,77,"(0,.25]",0.1875,0.5,0.4375,-0.0625,0.5625,0.4375,-0.125,0.75,0.625,-0.125
5,B-bin/A-base,77,"(.25,.5]",0.5,0.1875,0.4375,0.25,0.3125,0.4375,0.125,0.5,0.625,0.125
5,A-bin/B-base,78,"(0,.25]",0.1875,0.125,0.125,0.0,0.625,0.5,-0.125,0.1875,0.1875,0.0
5,B-bin/A-base,78,"(0,.25]",0.125,0.1875,0.125,-0.0625,0.5625,0.5,-0.0625,0.25,0.1875,-0.0625
5,A-bin/B-base,79,"(.75,1)",0.9375,0.75,0.6875,-0.0625,0.8125,0.8125,0.0,0.9375,0.8125,-0.125
5,B-bin/A-base,79,"(.5,.75]",0.75,0.9375,0.6875,-0.25,0.9375,0.8125,-0.125,0.9375,0.8125,-0.125
5,A-bin/B-base,80,"(0,.25]",0.0625,0.1875,0.125,-0.0625,0.1875,0.3125,0.125,0.5,0.25,-0.25
5,B-bin/A-base,80,"(0,.25]",0.1875,0.0625,0.125,0.0625,0.25,0.3125,0.0625,0.375,0.25,-0.125
5,A-bin/B-base,81,"(0,.25]",0.25,0.0625,0.25,0.1875,0.4375,0.3125,-0.125,0.0625,0.3125,0.25
5,B-bin/A-base,81,"(0,.25]",0.0625,0.25,0.25,0.0,0.3125,0.3125,0.0,0.375,0.3125,-0.0625
5,A-bin/B-base,82,"(.25,.5]",0.375,0.375,0.5,0.125,0.4375,0.625,0.1875,0.5,0.625,0.125
5,B-bin/A-base,82,"(.25,.5]",0.375,0.375,0.5,0.125,0.5625,0.625,0.0625,0.375,0.625,0.25
5,A-bin/B-base,83,"(.25,.5]",0.375,0.375,0.5,0.125,0.4375,0.625,0.1875,0.5625,0.75,0.1875
5,B-bin/A-base,83,"(.25,.5]",0.375,0.375,0.5,0.125,0.4375,0.625,0.1875,0.6875,0.75,0.0625
5,A-bin/B-base,84,"(.25,.5]",0.3125,0.125,0.375,0.25,0.3125,0.4375,0.125,0.375,0.75,0.375
5,B-bin/A-base,84,"(0,.25]",0.125,0.3125,0.375,0.0625,0.3125,0.4375,0.125,0.5625,0.75,0.1875
5,A-bin/B-base,85,"(.25,.5]",0.3125,0.4375,0.5625,0.125,0.5625,0.6875,0.125,0.625,0.75,0.125
5,B-bin/A-base,85,"(.25,.5]",0.4375,0.3125,0.5625,0.25,0.375,0.6875,0.3125,0.5,0.75,0.25
5,A-bin/B-base,86,"(.25,.5]",0.5,0.625,0.75,0.125,0.625,0.8125,0.1875,0.8125,0.9375,0.125
5,B-bin/A-base,86,"(.5,.75]",0.625,0.5,0.75,0.25,0.625,0.8125,0.1875,0.8125,0.9375,0.125
5,A-bin/B-base,87,"(0,.25]",0.25,0.25,0.25,0.0,0.5625,0.25,-0.3125,0.375,0.5,0.125
5,B-bin/A-base,87,"(0,.25]",0.25,0.25,0.25,0.0,0.375,0.25,-0.125,0.6875,0.5,-0.1875
5,A-bin/B-base,88,"(.25,.5]",0.4375,0.5,0.5,0.0,0.6875,0.625,-0.0625,0.5625,0.75,0.1875
5,B-bin/A-base,88,"(.25,.5]",0.5,0.4375,0.5,0.0625,0.5625,0.625,0.0625,0.5625,0.75,0.1875
5,A-bin/B-base,89,"(0,.25]",0.125,0.1875,0.25,0.0625,0.375,0.375,0.0,0.3125,0.375,0.0625
5,B-bin/A-base,89,"(0,.25]",0.1875,0.125,0.25,0.125,0.1875,0.375,0.1875,0.3125,0.375,0.0625
5,A-bin/B-base,90,"(0,.25]",0.0625,0.0625,0.125,0.0625,0.25,0.375,0.125,0.1875,0.125,-0.0625
5,B-bin/A-base,90,"(0,.25]",0.0625,0.0625,0.125,0.0625,0.3125,0.375,0.0625,0.125,0.125,0.0
5,A-bin/B-base,91,"(0,.25]",0.125,0.125,0.1875,0.0625,0.125,0.25,0.125,0.375,0.5,0.125
5,B-bin/A-base,91,"(0,.25]",0.125,0.125,0.1875,0.0625,0.125,0.25,0.125,0.6875,0.5,-0.1875
5,A-bin/B-base,92,"(0,.25]",0.125,0.3125,0.0625,-0.25,0.5625,0.3125,-0.25,0.4375,0.3125,-0.125
5,B-bin/A-base,92,"(.25,.5]",0.3125,0.125,0.0625,-0.0625,0.3125,0.3125,0.0,0.1875,0.3125,0.125
5,A-bin/B-base,93,"(.5,.75]",0.75,0.375,0.5,0.125,0.4375,0.5625,0.125,0.75,0.875,0.125
5,B-bin/A-base,93,"(.25,.5]",0.375,0.75,0.5,-0.25,0.75,0.5625,-0.1875,1.0,0.875,-0.125
5,A-bin/B-base,94,"(.5,.75]",0.5625,0.5625,0.5,-0.0625,0.5625,0.5,-0.0625,0.9375,0.875,-0.0625
5,B-bin/A-base,94,"(.5,.75]",0.5625,0.5625,0.5,-0.0625,0.5625,0.5,-0.0625,0.875,0.875,0.0
5,A-bin/B-base,95,"(0,.25]",0.125,0.0,0.0,0.0,0.3125,0.0625,-0.25,0.0,0.0,0.0
5,B-bin/A-base,95,0,0.0,0.125,0.0,-0.125,0.25,0.0625,-0.1875,0.125,0.0,-0.125
5,A-bin/B-base,96,"(.75,1)",0.8125,0.6875,0.5625,-0.125,0.6875,0.6875,0.0,0.75,0.625,-0.125
5,B-bin/A-base,96,"(.5,.75]",0.6875,0.8125,0.5625,-0.25,0.8125,0.6875,-0.125,0.875,0.625,-0.25
5,A-bin/B-base,97,0,0.0,0.0,0.0,0.0,0.1875,0.125,-0.0625,0.0,0.0,0.0
5,B-bin/A-base,97,0,0.0,0.0,0.0,0.0,0.25,0.125,-0.125,0.0,0.0,0.0
5,A-bin/B-base,98,"(.25,.5]",0.3125,0.375,0.3125,-0.0625,0.6875,0.4375,-0.25,0.375,0.4375,0.0625
5,B-bin/A-base,98,"(.25,.5]",0.375,0.3125,0.3125,0.0,0.5,0.4375,-0.0625,0.375,0.4375,0.0625
5,A-bin/B-base,99,0,0.0,0.0,0.0625,0.0625,0.125,0.0625,-0.0625,0.0625,0.25,0.1875
5,B-bin/A-base,99,0,0.0,0.0,0.0625,0.0625,0.0,0.0625,0.0625,0.0625,0.25,0.1875
5,A-bin/B-base,100,"(.25,.5]",0.375,0.25,0.3125,0.0625,0.375,0.3125,-0.0625,0.4375,0.6875,0.25
5,B-bin/A-base,100,"(0,.25]",0.25,0.375,0.3125,-0.0625,0.4375,0.3125,-0.125,0.75,0.6875,-0.0625
5,A-bin/B-base,101,"(0,.25]",0.25,0.3125,0.625,0.3125,0.5,0.625,0.125,0.625,0.875,0.25
5,B-bin/A-base,101,"(.25,.5]",0.3125,0.25,0.625,0.375,0.5,0.625,0.125,0.5,0.875,0.375
