direction,bin,dataset_index,exposure_step,baseline_p0,baseline_p0_completion_length,prompt_token_count
A-bin/B-base,"(.5,.75]",149,2777,0.5,1480.6875,67
B-bin/A-base,"(.25,.5]",149,2777,0.5625,1539.8125,67
A-bin/B-base,"(.5,.75]",150,1598,0.4375,1392.5625,75
B-bin/A-base,"(.25,.5]",150,1598,0.75,1070.625,75
A-bin/B-base,"(.25,.5]",151,806,0.5625,1342.3125,75
B-bin/A-base,"(.5,.75]",151,806,0.5,1214.375,75
A-bin/B-base,"(.5,.75]",152,297,0.5625,1406.5625,65
B-bin/A-base,"(.5,.75]",152,297,0.6875,1462.625,65
A-bin/B-base,"(.25,.5]",153,301,0.4375,1424.3125,92
B-bin/A-base,"(.25,.5]",153,301,0.3125,1429.8125,92
A-bin/B-base,"(.25,.5]",154,1899,0.4375,1612.3125,97
B-bin/A-base,"(.25,.5]",154,1899,0.3125,1864.9375,97
A-bin/B-base,"(.25,.5]",155,1281,0.125,1567.5625,88
B-bin/A-base,"(0,.25]",155,1281,0.375,1622.3125,88
A-bin/B-base,"(.5,.75]",156,2984,0.6875,1453.3125,99
B-bin/A-base,"(.5,.75]",156,2984,0.5625,1530.9375,99
A-bin/B-base,"(.25,.5]",157,2537,0.5,1607.5625,91
B-bin/A-base,"(.25,.5]",157,2537,0.3125,1775.5625,91
A-bin/B-base,"(.25,.5]",158,1296,0.0625,1989.875,76
B-bin/A-base,"(0,.25]",158,1296,0.4375,1519.5625,76
A-bin/B-base,"(0,.25]",159,13,0.0625,1804.5,74
B-bin/A-base,"(0,.25]",159,13,0.0625,1836.0625,74
A-bin/B-base,0,160,2266,0.0,1828.3125,99
B-bin/A-base,0,160,2266,0.0,1536.25,99
A-bin/B-base,"(.75,1)",161,2400,0.6875,1223.5,70
B-bin/A-base,"(.5,.75]",161,2400,0.875,938.5625,70
A-bin/B-base,"(0,.25]",162,3224,0.1875,1715.9375,95
B-bin/A-base,"(0,.25]",162,3224,0.0625,1676.6875,95
A-bin/B-base,"(.25,.5]",163,3446,0.625,1459.8125,113
B-bin/A-base,"(.5,.75]",163,3446,0.5,1436.875,113
A-bin/B-base,"(.5,.75]",164,760,0.5,1236.4375,83
B-bin/A-base,"(.25,.5]",164,760,0.5625,1059.75,83
A-bin/B-base,0,165,643,0.0,1823.125,107
B-bin/A-base,0,165,643,0.0,2048.0,107
A-bin/B-base,"(0,.25]",166,619,0.125,1957.125,123
